year,country_name,total_oda
2007,Suriname,147.030889
2007,Trinidad and Tobago,6.962435
2007,Turks and Caicos Islands,0.627843
2007,Uruguay,31.696319000000003
2007,Venezuela (Bolivarian Republic of),34.315037
2008,Antigua and Barbuda,0.7321369999999999
2008,Argentina,109.81041900000001
2008,Barbados,0.730924
2008,Belize,2.6509069999999997
2008,Bolivia (Plurinational State of),407.460847
2008,Brazil,480.570643
2008,Chile,100.576827
2008,Colombia,1155.42737
2008,Costa Rica,86.464047
2008,Cuba,70.903816
2008,Dominica,1.079409
2008,Dominican Republic,122.907218
2008,Ecuador,278.091492
2008,El Salvador,254.12098799999998
2008,Grenada,2.626769
2008,Guatemala,511.1999830000001
2008,Guyana,63.195259
2008,Haiti,704.5776950000001
2008,Honduras,570.3277519999999
2008,Jamaica,71.753172
2008,Mexico,287.428273
2008,Montserrat,31.864243
2008,Nicaragua,409.192917
2008,Panama,45.259125
2008,Paraguay,110.09902899999999
2008,Peru,637.190527
2008,Saint Kitts and Nevis,0.42566000000000004
2008,Saint Lucia,4.444094
2008,Saint Vincent and the Grenadines,9.339792000000001
2008,Suriname,74.36263100000002
2008,Trinidad and Tobago,2.658572
2008,Uruguay,27.765551999999996
2008,Venezuela (Bolivarian Republic of),33.428625999999994
2009,Anguilla,1.5526719999999998
2009,Antigua and Barbuda,3.7407249999999994
2009,Argentina,111.359714
2009,Barbados,3.3757979999999996
2009,Belize,10.371913
2009,Bolivia (Plurinational State of),574.15934
2009,Brazil,546.4978679999999
2009,Chile,86.56122799999999
2009,Colombia,1281.1387670000001
2009,Costa Rica,107.758989
2009,Cuba,91.91532600000001
2009,Dominica,7.8152919999999995
2009,Dominican Republic,152.620056
2009,Ecuador,239.07393299999998
2009,El Salvador,318.169889
2009,Grenada,5.846791
2009,Guatemala,400.87665100000004
2009,Guyana,70.32800999999999
2009,Haiti,906.878858
2009,Honduras,414.158661
2009,Jamaica,81.985621
2009,Mexico,319.037021
2009,Montserrat,43.40539
2009,Nicaragua,556.7901099999999
2009,Panama,70.448814
2009,Paraguay,165.189381
2009,Peru,627.568625
2009,Saint Kitts and Nevis,2.964305999999999
2009,Saint Lucia,8.040925999999999
2009,Saint Vincent and the Grenadines,6.8555649999999995
2009,Suriname,134.181205
2009,Trinidad and Tobago,4.764012999999999
2009,Uruguay,48.803281999999996
2009,Venezuela (Bolivarian Republic of),53.10786399999999
2010,Anguilla,0.3346799999999998
2010,Antigua and Barbuda,5.638286000000001
2010,Argentina,142.401018
2010,Barbados,4.940969999999999
2010,Belize,16.419128999999998
2010,Bolivia (Plurinational State of),824.254798
2010,Brazil,621.256545
2010,Chile,201.983877
2010,Colombia,773.967586
2010,Costa Rica,119.234654
2010,Cuba,115.59244000000001
2010,Dominica,9.159508999999998
2010,Dominican Republic,189.110462
2010,Ecuador,236.581918
2010,El Salvador,394.865749
2010,Grenada,11.541551
2010,Guatemala,431.36753699999997
2010,Guyana,149.163642
2010,Haiti,3118.8698480000003
2010,Honduras,651.3725450000001
2010,Jamaica,87.524781
2010,Mexico,709.991571
2010,Montserrat,22.148566999999996
2010,Nicaragua,664.03921
2010,Panama,113.60244300000001
2010,Paraguay,158.615465
2010,Peru,662.958712
2010,Saint Kitts and Nevis,0.9634649999999996
2010,Saint Lucia,13.285048999999999
2010,Saint Vincent and the Grenadines,3.9822909999999987
2010,Suriname,97.344706
2010,Trinidad and Tobago,4.761049999999998
2010,Uruguay,50.642058999999996
2010,Venezuela (Bolivarian Republic of),50.814972999999995
2011,Anguilla,0.410833
2011,Antigua and Barbuda,7.9953189999999985
2011,Argentina,107.21088699999999
2011,Belize,13.396563999999998
2011,Bolivia (Plurinational State of),691.6601019999999
2011,Brazil,745.986436
2011,Chile,95.838161
2011,Colombia,1151.46705
2011,Costa Rica,65.91549599999999
2011,Cuba,85.679102
2011,Dominica,8.513447
2011,Dominican Republic,275.123037
2011,Ecuador,226.893473
2011,El Salvador,358.73913300000004
2011,Grenada,8.390649
2011,Guatemala,405.534433
2011,Guyana,136.208244
2011,Haiti,1650.471414
2011,Honduras,643.446797
2011,Jamaica,73.531078
2011,Mexico,1101.7368099999999
2011,Montserrat,46.856016
2011,Nicaragua,575.544265
2011,Panama,88.87658499999999
2011,Paraguay,134.434382
2011,Peru,747.124708
2011,Saint Kitts and Nevis,1.4969309999999998
2011,Saint Lucia,14.115272
2011,Saint Vincent and the Grenadines,2.2210859999999992
2011,Suriname,86.502749
2011,Uruguay,31.782591999999998
2011,Venezuela (Bolivarian Republic of),44.578089
2012,Anguilla,0.577254
