country_code,country_name,sector,cs_recent_avg,cs_donor_count,disburse_pctile,donor_count_pctile,cs_context
AIA,Anguilla,Agriculture & Natural Resources,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Business & Other Services,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Communications,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Education,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Energy,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Environmental Protection,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Finance & Banking,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Governance & Civil Society,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Health,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Industry Mining & Construction,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Other Multisector,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Other Social Infrastructure,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Population & Reproductive Health,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
AIA,Anguilla,Water & Sanitation,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Agriculture & Natural Resources,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Business & Other Services,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Communications,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Education,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Energy,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Environmental Protection,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Finance & Banking,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Governance & Civil Society,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Health,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Industry Mining & Construction,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Other Multisector,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Other Social Infrastructure,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Population & Reproductive Health,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Tourism,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Trade,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Transport & Storage,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ATG,Antigua and Barbuda,Water & Sanitation,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
ARG,Argentina,Agriculture & Natural Resources,60.56304535035763,16,89.17975567190227,80.0174520069808,Fragmented coordination space
ARG,Argentina,Business & Other Services,2.8271015378469264,8,53.752181500872595,55.67190226876091,Thin / emerging space
ARG,Argentina,Communications,0.0394506489111403,3,25.479930191972077,31.8499127399651,Low-activity space
ARG,Argentina,Education,29.75832903248292,32,82.02443280977313,98.42931937172776,Fragmented coordination space
ARG,Argentina,Energy,21.71318995090407,11,78.53403141361257,67.71378708551484,Fragmented coordination space
ARG,Argentina,Environmental Protection,5.572631599482258,18,62.30366492146597,82.4607329842932,Fragmented coordination space
ARG,Argentina,Finance & Banking,0.6912852539436863,3,38.39441535776614,31.8499127399651,Thin / emerging space
ARG,Argentina,Governance & Civil Society,15.58433873759288,27,74.52006980802793,96.07329842931938,Fragmented coordination space
ARG,Argentina,Health,34.14893503169143,19,82.54799301919721,83.94415357766142,Fragmented coordination space
ARG,Argentina,Industry Mining & Construction,1.46343067006581,10,45.724258289703315,63.78708551483421,Thin / emerging space
ARG,Argentina,Other Multisector,12.246542609349362,24,71.02966841186736,92.49563699825481,Fragmented coordination space
ARG,Argentina,Other Social Infrastructure,9.991876203475988,22,68.760907504363,89.09249563699827,Fragmented coordination space
ARG,Argentina,Population & Reproductive Health,1.1439779820795304,6,42.75741710296684,46.42233856893543,Thin / emerging space
ARG,Argentina,Tourism,0.03265958819905987,3,24.781849912739965,31.8499127399651,Low-activity space
ARG,Argentina,Trade,0.21013230638211752,5,31.064572425828967,42.40837696335078,Low-activity space
ARG,Argentina,Transport & Storage,0.3407035285814865,5,34.3804537521815,42.40837696335078,Thin / emerging space
ARG,Argentina,Water & Sanitation,42.82874863532038,11,84.99127399650959,67.71378708551484,Fragmented coordination space
BRB,Barbados,Agriculture & Natural Resources,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Business & Other Services,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Communications,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Education,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Energy,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Environmental Protection,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Finance & Banking,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Governance & Civil Society,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Health,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Industry Mining & Construction,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Other Multisector,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Other Social Infrastructure,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Population & Reproductive Health,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Trade,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Transport & Storage,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BRB,Barbados,Water & Sanitation,0.0,0,10.732984293193718,10.732984293193718,Low-activity space
BLZ,Belize,Agriculture & Natural Resources,2.3183748514502587,9,50.08726003490401,59.860383944153575,Thin / emerging space
BLZ,Belize,Business & Other Services,0.39274335340132766,8,35.602094240837694,55.67190226876091,Thin / emerging space
BLZ,Belize,Communications,0.005738689142684033,1,22.68760907504363,23.56020942408377,Low-activity space
BLZ,Belize,Education,4.58730827411872,22,59.33682373472949,89.09249563699827,Fragmented coordination space
BLZ,Belize,Energy,0.10299079949496358,3,27.748691099476442,31.8499127399651,Low-activity space
BLZ,Belize,Environmental Protection,2.3765556797936607,12,50.6108202443281,70.85514834205934,Fragmented coordination space
BLZ,Belize,Finance & Banking,0.3864338137224133,4,35.25305410122164,38.132635253054104,Thin / emerging space
BLZ,Belize,Governance & Civil Society,3.886972273470681,16,57.76614310645725,80.0174520069808,Fragmented coordination space
BLZ,Belize,Health,3.3092854389077044,10,55.14834205933682,63.78708551483421,Thin / emerging space
BLZ,Belize,Industry Mining & Construction,1.1363731284131326,4,42.582897033158815,38.132635253054104,Thin / emerging space
BLZ,Belize,Other Multisector,2.898472900713751,12,53.92670157068062,70.85514834205934,Fragmented coordination space
BLZ,Belize,Other Social Infrastructure,1.5537843396157933,8,46.596858638743456,55.67190226876091,Thin / emerging space
BLZ,Belize,Population & Reproductive Health,1.1881920105514776,7,43.280977312390924,51.22164048865619,Thin / emerging space
BLZ,Belize,Tourism,0.011573207396828733,2,23.211169284467715,26.96335078534031,Low-activity space
BLZ,Belize,Trade,0.053770178380515364,3,25.82897033158813,31.8499127399651,Low-activity space
BLZ,Belize,Transport & Storage,14.305731940733358,5,73.29842931937172,42.40837696335078,Anchor partnership space
BLZ,Belize,Water & Sanitation,0.38593912069272784,4,35.07853403141361,38.132635253054104,Thin / emerging space
BOL,Bolivia (Plurinational State of),Agriculture & Natural Resources,61.54288049607785,22,89.52879581151832,89.09249563699827,Fragmented coordination space
BOL,Bolivia (Plurinational State of),Business & Other Services,1.61869867069829,9,47.12041884816754,59.860383944153575,Thin / emerging space
BOL,Bolivia (Plurinational State of),Communications,0.9215582879103965,3,39.9650959860384,31.8499127399651,Thin / emerging space
BOL,Bolivia (Plurinational State of),Education,23.522423391293376,31,79.75567190226876,97.99301919720767,Fragmented coordination space
BOL,Bolivia (Plurinational State of),Energy,34.54013704506225,11,82.89703315881326,67.71378708551484,Fragmented coordination space
BOL,Bolivia (Plurinational State of),Environmental Protection,17.027786565385146,21,75.04363001745202,87.34729493891797,Fragmented coordination space
BOL,Bolivia (Plurinational State of),Finance & Banking,72.72854395596374,7,91.7975567190227,51.22164048865619,Anchor partnership space
BOL,Bolivia (Plurinational State of),Governance & Civil Society,44.67519932540631,30,85.86387434554975,97.73123909249564,Fragmented coordination space
BOL,Bolivia (Plurinational State of),Health,28.427230515762997,21,81.84991273996509,87.34729493891797,Fragmented coordination space
BOL,Bolivia (Plurinational State of),Industry Mining & Construction,4.027367616110931,14,58.289703315881326,76.26527050610821,Fragmented coordination space
BOL,Bolivia (Plurinational State of),Other Multisector,36.197497480885026,21,83.7696335078534,87.34729493891797,Fragmented coordination space
BOL,Bolivia (Plurinational State of),Other Social Infrastructure,106.05567032695446,20,95.28795811518324,85.68935427574172,Fragmented coordination space
BOL,Bolivia (Plurinational State of),Population & Reproductive Health,14.643789334585533,15,73.99650959860384,78.1849912739965,Fragmented coordination space
BOL,Bolivia (Plurinational State of),Tourism,3.7655027282933937,6,57.59162303664922,46.42233856893543,Thin / emerging space
BOL,Bolivia (Plurinational State of),Trade,0.541750701384445,7,36.82373472949389,51.22164048865619,Thin / emerging space
BOL,Bolivia (Plurinational State of),Transport & Storage,59.41195641287492,7,88.8307155322862,51.22164048865619,Anchor partnership space
BOL,Bolivia (Plurinational State of),Water & Sanitation,60.62896381201762,18,89.3542757417103,82.4607329842932,Fragmented coordination space
