donor_code,donor_name,donor_type,country_code,country_name,sector,recent_avg,active_years,active_share,sector_share,disburse_pctile_within_cs,disbursement_strong,persistence_strong,embeddedness_strong,n_strong,priority,cs_context
KOR,Korea,Bilateral (DAC),BLZ,Belize,Governance & Civil Society,0.4357188137008226,11,0.4782608695652174,0.31727772430192946,87.5,True,False,True,2,High,Fragmented coordination space
1UN019,UNICEF,UN Agency,BLZ,Belize,Governance & Civil Society,0.20116445513989803,19,0.8260869565217391,0.1892628921045678,81.25,True,True,True,3,High,Fragmented coordination space
5IDB0,IDB Group,MDB,BLZ,Belize,Governance & Civil Society,0.16156199999999996,14,0.6086956521739131,0.07935324358253205,75.0,True,True,False,2,High,Fragmented coordination space
CAN,Canada,Bilateral (DAC),BLZ,Belize,Governance & Civil Society,0.1555146255447444,14,0.6086956521739131,0.09049724767535468,68.75,True,True,False,2,High,Fragmented coordination space
1UN014,UNDP,UN Agency,BLZ,Belize,Governance & Civil Society,0.0519479086041448,12,0.5217391304347826,0.5659291167808314,50.0,False,True,True,2,High,Fragmented coordination space
GBR,United Kingdom,Bilateral (DAC),BLZ,Belize,Governance & Civil Society,0.0076566140280606996,14,0.6086956521739131,0.30127115468882215,31.25,False,True,True,2,High,Fragmented coordination space
9OTH011,Global Environment Facility,Vertical Fund,BLZ,Belize,Governance & Civil Society,0.103929,1,0.043478260869565216,0.01452800242447896,56.25,False,False,False,0,Low,Fragmented coordination space
1UN006,ILO,UN Agency,BLZ,Belize,Governance & Civil Society,0.010005334599357266,4,0.17391304347826086,0.012050051462426303,37.5,False,False,False,0,Low,Fragmented coordination space
JPN,Japan,Bilateral (DAC),BLZ,Belize,Governance & Civil Society,0.005101467271124666,11,0.4782608695652174,0.006023712295271188,18.75,False,False,False,0,Low,Fragmented coordination space
TWN,Chinese Taipei,Bilateral (Non-DAC),BLZ,Belize,Governance & Civil Society,0.004413,1,0.043478260869565216,0.0016091132277761214,12.5,False,False,False,0,Low,Fragmented coordination space
TUR,Turkey,Bilateral (Non-DAC),BLZ,Belize,Governance & Civil Society,0.001399,2,0.08695652173913043,0.1363149176654,6.25,False,False,False,0,Low,Fragmented coordination space
NOR,Norway,Bilateral (DAC),BLZ,Belize,Governance & Civil Society,0.13906,5,0.21739130434782608,0.6856966142517229,62.5,False,False,True,1,Medium,Fragmented coordination space
SWE,Sweden,Bilateral (DAC),BLZ,Belize,Governance & Civil Society,0.03049553190039307,2,0.08695652173913043,0.3766990575718355,43.75,False,False,True,1,Medium,Fragmented coordination space
1UN021,UNIDO,UN Agency,BLZ,Belize,Governance & Civil Society,0.007079666666666667,2,0.08695652173913043,1.0,25.0,False,False,True,1,Medium,Fragmented coordination space
9OTH015,Green Climate Fund,Vertical Fund,BLZ,Belize,Governance & Civil Society,0.0,3,0.13043478260869565,0.1855659823744661,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
AUS,Australia,Bilateral (DAC),BLZ,Belize,Governance & Civil Society,0.0,3,0.13043478260869565,0.08683816197237815,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
DEU,Germany,Bilateral (DAC),BLZ,Belize,Governance & Civil Society,0.0,1,0.043478260869565216,0.00642872296736313,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
ESP,Spain,Bilateral (DAC),BLZ,Belize,Governance & Civil Society,0.0,3,0.13043478260869565,0.1622394716144002,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
USA,United States,Bilateral (DAC),BLZ,Belize,Health,1.5150265397823128,15,0.6521739130434783,0.40697129542751553,100.0,True,True,True,3,High,Thin / emerging space
SVK,Slovakia,Bilateral (DAC),BLZ,Belize,Health,0.966076,1,0.043478260869565216,1.0,90.0,True,False,True,2,High,Thin / emerging space
1UN026,WHO,UN Agency,BLZ,Belize,Health,0.37829104339231656,8,0.34782608695652173,0.8937698815091284,80.0,True,False,True,2,High,Thin / emerging space
5IDB0,IDB Group,MDB,BLZ,Belize,Health,0.07748866666666666,7,0.30434782608695654,0.0231914076994117,50.0,False,False,False,0,Low,Thin / emerging space
