year,total_oda
2002,8559.760365
2003,8409.603632
2004,9445.010482
2005,8661.062285
2006,13506.496578
2007,7600.78012
2008,8237.088765
2009,8431.199429
2010,10193.981914
2011,9194.093701
2012,9285.687731
2013,9002.772091
2014,9214.313967
2015,10030.054069
2016,12012.862403
2017,10137.692851
2018,10663.502394
2019,9931.074674
2020,12806.443562
2021,12509.214548
2022,14395.326918
2023,12318.62555
2024,11904.91553
