year,country_name,total_oda
2006,Saint Kitts and Nevis,6.726667
2006,Saint Lucia,31.622011
2006,Saint Vincent and the Grenadines,7.174922
2006,South America (Unspecified),118.081312
2006,Suriname,72.873518
2006,Trinidad and Tobago,5.889819
2006,Turks and Caicos Islands,0.356902
2006,Uruguay,32.403013
2006,Venezuela (Bolivarian Republic of),55.529421
2007,Anguilla,6.341191
2007,Antigua and Barbuda,3.645853
2007,Argentina,142.043149
2007,Barbados,14.048532999999999
2007,Belize,25.642142
2007,Bolivia (Plurinational State of),578.981197
2007,Brazil,456.115653
2007,Caribbean (Unspecified),51.707351
2007,Chile,119.985888
2007,Colombia,888.986178
2007,Costa Rica,128.076686
2007,Cuba,112.447078
2007,Dominica,12.32296
2007,Dominican Republic,158.435556
2007,Ecuador,267.455587
2007,El Salvador,235.812939
2007,Grenada,33.572105
2007,Guatemala,557.345231
2007,Guyana,76.620381
2007,Haiti,672.08057
2007,Honduras,461.972442
2007,Jamaica,78.46430000000001
2007,Mexico,278.88418199999995
2007,Montserrat,31.060016
2007,Nicaragua,725.960007
2007,Panama,46.530234
2007,Paraguay,147.074288
2007,Peru,772.122576
2007,Saint Kitts and Nevis,6.683486
2007,Saint Lucia,23.29203
2007,Saint Vincent and the Grenadines,57.699129000000006
2007,South America (Unspecified),159.927755
2007,Suriname,151.876449
2007,Trinidad and Tobago,10.542159000000002
2007,Turks and Caicos Islands,4.468704000000001
2007,Uruguay,41.966487
2007,Venezuela (Bolivarian Republic of),60.589648
2008,Anguilla,0.294937
2008,Antigua and Barbuda,4.409796
2008,Argentina,138.79546
2008,Barbados,4.5350019999999995
2008,Belize,18.043683
2008,Bolivia (Plurinational State of),597.666315
2008,Brazil,525.255545
2008,Caribbean (Unspecified),98.570765
2008,Chile,115.629746
2008,Colombia,1204.782484
2008,Costa Rica,109.946102
2008,Cuba,127.49620200000001
2008,Dominica,9.232325
2008,Dominican Republic,190.568386
2008,Ecuador,295.104038
2008,El Salvador,265.39861
2008,Grenada,30.082365999999997
2008,Guatemala,543.740053
2008,Guyana,80.33245500000001
2008,Haiti,827.9999620000001
2008,Honduras,596.673041
2008,Jamaica,87.883985
2008,Mexico,300.43003400000003
2008,Montserrat,33.045487
2008,Nicaragua,713.493741
2008,Panama,49.995858
2008,Paraguay,167.564799
2008,Peru,671.876312
2008,Saint Kitts and Nevis,39.930357
2008,Saint Lucia,12.592483999999999
2008,Saint Vincent and the Grenadines,16.352395
2008,South America (Unspecified),185.106235
2008,Suriname,78.09097
2008,Trinidad and Tobago,4.731986
2008,Uruguay,35.961576
2008,Venezuela (Bolivarian Republic of),55.475273
2009,Anguilla,2.030347
2009,Antigua and Barbuda,4.7178439999999995
2009,Argentina,123.405701
2009,Barbados,4.831494
2009,Belize,25.69224
2009,Bolivia (Plurinational State of),591.598883
2009,Brazil,583.452365
2009,Caribbean (Unspecified),73.27255199999999
2009,Chile,92.709518
2009,Colombia,1320.1505140000002
2009,Costa Rica,117.271241
2009,Cuba,106.544108
2009,Dominica,20.599837
2009,Dominican Republic,160.03389
2009,Ecuador,256.389306
2009,El Salvador,347.996378
2009,Grenada,37.675382
2009,Guatemala,419.351066
2009,Guyana,74.288255
2009,Haiti,1051.397419
2009,Honduras,434.247228
2009,Jamaica,121.414674
2009,Mexico,345.75374
2009,Montserrat,43.460547
2009,Nicaragua,682.477003
2009,Panama,76.344487
2009,Paraguay,170.33086699999998
2009,Peru,648.697207
2009,Saint Kitts and Nevis,4.889923
2009,Saint Lucia,30.939131
2009,Saint Vincent and the Grenadines,20.771900000000002
2009,South America (Unspecified),182.69008
2009,Suriname,137.10112
2009,Trinidad and Tobago,5.869453
